/home/amit/muse/output/CalendarTrigger/schemas/COMPLEXREACHABILITY/CalendarTrigger
In file: MyLog.java
leak-362: 1.onLongClick
leak-363: 1.onLongClick
leak-364: 1.onLongClick
leak-365: 1.onLongClick
leak-366: 1.onLongClick
leak-367: 1.onLongClick
leak-368: SettingsActivity.reResume
leak-369: SettingsActivity.reResume
leak-370: 1.onLongClick
leak-371: SettingsActivity.reResume
leak-372: 1.onClick
leak-373: 1.onLongClick
leak-374: SettingsActivity.reResume
leak-375: 1.onClick
leak-376: 1.onLongClick
leak-377: 1.onClick
leak-378: 1.onLongClick
leak-379: SettingsActivity.reResume
leak-380: 1.onClick
leak-381: 1.onLongClick
leak-382: SettingsActivity.reResume
leak-383: 1.onClick
leak-384: 1.onLongClick
leak-385: SettingsActivity.reResume
leak-386: 1.onClick
leak-387: 1.onLongClick
leak-388: SettingsActivity.reResume
leak-389: 1.onClick
leak-390: 1.onLongClick
leak-391: SettingsActivity.reResume
leak-392: SettingsActivity.reResume
leak-393: 1.onClick
leak-394: 1.onClick
leak-395: 1.onClick
leak-396: 1.onLongClick
leak-397: 1.onLongClick
leak-398: 1.onLongClick
leak-399: 1.onClick
leak-400: 1.onClick
leak-401: 1.onLongClick
leak-402: 1.onClick
leak-403: 1.onLongClick
leak-404: SettingsActivity.reResume
leak-405: 1.onClick
leak-406: 1.onClick
leak-407: 1.onClick
leak-408: 1.onClick
leak-409: 1.onLongClick
leak-410: SettingsActivity.reResume
leak-411: 1.onClick
leak-412: 1.onLongClick
leak-413: SettingsActivity.reResume
leak-414: 1.onClick
leak-415: 1.onClick
leak-416: 1.onClick
leak-417: 1.onLongClick
leak-418: SettingsActivity.reResume
leak-419: 1.onClick
leak-420: 1.onLongClick
leak-421: SettingsActivity.reResume
leak-422: SettingsActivity.reResume
leak-423: 1.onClick
leak-424: SettingsActivity.onResume
leak-425: SettingsActivity.onResume
leak-426: SettingsActivity.onBackPressed
leak-427: SettingsActivity.onBackPressed
leak-428: SettingsActivity.onBackPressed
In file: FileSystemAdapter.java
Input operator: COMPLEXREACHABILITY
leak-429: FileSystemAdapter.FileSystemAdapter
leak-430: FileSystemAdapter.getView
leak-431: FileSystemAdapter.getView
leak-432: FileSystemAdapter.getView
leak-433: FileSystemAdapter.getView
leak-434: FileSystemAdapter.getView
leak-435: FileSystemAdapter.getView
leak-436: FileSystemAdapter.getView
leak-437: FileSystemAdapter.getView
leak-438: FileSystemAdapter.getView
leak-439: FileSystemAdapter.getView
leak-440: FileSystemAdapter.getFileExtention
leak-441: FileSystemAdapter.getFileExtention
leak-442: FileSystemAdapter.showFileSystem
leak-443: FileSystemAdapter.showFileSystem
leak-444: FileSystemAdapter.showFileSystem
leak-445: FileSystemAdapter.showFileSystem
leak-446: FileSystemAdapter.showFileSystem
leak-447: FileSystemAdapter.showFileSystem
leak-448: FileSystemAdapter.showFileSystem
leak-449: FileSystemAdapter.getRoot
leak-450: FileSystemAdapter.move
leak-451: FileSystemAdapter.move
leak-452: FileSystemAdapter.move
leak-453: FileSystemAdapter.move
leak-454: FileSystemAdapter.move
leak-455: FileSystemAdapter.move
leak-456: FileSystemAdapter.move
leak-457: FileSystemAdapter.move
leak-458: FileSystemAdapter.move
leak-459: FileSystemAdapter.addExtention
leak-460: FileSystemAdapter.clearExtentionMapping
leak-461: FileSystemAdapter.hasExtentions
leak-462: FileSystemAdapter.getPath
leak-463: FileSystemAdapter.setPath
leak-464: FileSystemAdapter.setOnGetView
In file: DefineClassFragment.java
Input operator: COMPLEXREACHABILITY
leak-465: calendarCheck.calendarCheck
leak-466: DefineClassFragment.DefineClassFragment
leak-467: DefineClassFragment.newInstance
leak-468: DefineClassFragment.onCreateView
leak-469: DefineClassFragment.onResume
leak-470: 1.onLongClick
leak-471: DefineClassFragment.onResume
leak-472: 1.onLongClick
leak-473: DefineClassFragment.onResume
leak-474: 1.onLongClick
leak-475: DefineClassFragment.onResume
leak-476: DefineClassFragment.onResume
leak-477: 1.onLongClick
leak-478: DefineClassFragment.onResume
leak-479: DefineClassFragment.onResume
leak-480: 1.onLongClick
leak-481: 1.onLongClick
leak-482: DefineClassFragment.onResume
leak-483: DefineClassFragment.onResume
leak-484: DefineClassFragment.onResume
leak-485: DefineClassFragment.onResume
leak-486: DefineClassFragment.onResume
leak-487: 1.onLongClick
leak-488: DefineClassFragment.onResume
leak-489: DefineClassFragment.onResume
leak-490: DefineClassFragment.onResume
leak-491: DefineClassFragment.onResume
leak-492: DefineClassFragment.onResume
leak-493: 1.onLongClick
leak-494: DefineClassFragment.onResume
leak-495: DefineClassFragment.onResume
leak-496: DefineClassFragment.onResume
leak-497: DefineClassFragment.onResume
leak-498: DefineClassFragment.onResume
leak-499: 1.onLongClick
leak-500: DefineClassFragment.onResume
leak-501: DefineClassFragment.onResume
leak-502: DefineClassFragment.onResume
leak-503: DefineClassFragment.onResume
leak-504: DefineClassFragment.onResume
leak-505: 1.onLongClick
leak-506: DefineClassFragment.onResume
leak-507: DefineClassFragment.onResume
leak-508: DefineClassFragment.onResume
leak-509: DefineClassFragment.onResume
leak-510: DefineClassFragment.onResume
leak-511: DefineClassFragment.onPause
leak-512: DefineClassFragment.onPause
leak-513: DefineClassFragment.onPause
leak-514: DefineClassFragment.onPause
leak-515: DefineClassFragment.onPause
leak-516: DefineClassFragment.onPause
leak-517: DefineClassFragment.onPause
leak-518: DefineClassFragment.onPause
leak-519: DefineClassFragment.onPause
leak-520: DefineClassFragment.onPause
leak-521: DefineClassFragment.onPause
leak-522: DefineClassFragment.onPause
leak-523: DefineClassFragment.onPause
In file: DefineStopFragment.java
Input operator: COMPLEXREACHABILITY
leak-524: DefineStopFragment.DefineStopFragment
leak-525: DefineStopFragment.newInstance
leak-526: DefineStopFragment.onCreateView
leak-527: DefineStopFragment.onResume
leak-528: 1.onLongClick
leak-529: 1.onLongClick
leak-530: 1.onLongClick
leak-531: 1.onLongClick
leak-532: 1.onLongClick
leak-533: 1.onLongClick
leak-534: 1.onLongClick
leak-535: 1.onLongClick
leak-536: 1.onLongClick
leak-537: 1.onLongClick
leak-538: 1.onLongClick
leak-539: 1.onLongClick
leak-540: 1.onLongClick
leak-541: 1.onLongClick
leak-542: 1.onLongClick
leak-543: DefineStopFragment.onPause
leak-544: DefineStopFragment.onPause
leak-545: DefineStopFragment.onPause
leak-546: DefineStopFragment.onPause
leak-547: DefineStopFragment.onPause
leak-548: DefineStopFragment.onPause
leak-549: DefineStopFragment.onPause
leak-550: DefineStopFragment.onPause
leak-551: DefineStopFragment.onPause
leak-552: DefineStopFragment.onPause
leak-553: DefineStopFragment.onPause
leak-554: DefineStopFragment.onPause
In file: FileData.java
Input operator: COMPLEXREACHABILITY
leak-555: FileData.FileData
In file: EditActivity.java
Input operator: COMPLEXREACHABILITY
leak-556: EditActivity.onCreate
leak-557: EditActivity.setButtonVisibility
leak-558: EditActivity.onResume
leak-559: 1.onLongClick
leak-560: 1.onClick
leak-561: 1.onLongClick
leak-562: 1.onClick
leak-563: 1.onLongClick
leak-564: 1.onClick
leak-565: 1.onLongClick
leak-566: 1.onClick
leak-567: 1.onLongClick
leak-568: 1.onClick
leak-569: 1.onLongClick
leak-570: 1.onClick
leak-571: 1.onLongClick
leak-572: 1.onClick
leak-573: 1.onLongClick
In file: CalendarProvider.java
Input operator: COMPLEXREACHABILITY
leak-574: CalendarProvider.CalendarProvider
leak-575: CalendarProvider.getInstancesQueryUri
leak-576: CalendarProvider.likeQuote
leak-577: CalendarProvider.selection
leak-578: CalendarProvider.selection
leak-579: CalendarProvider.selection
leak-580: CalendarProvider.selection
leak-581: CalendarProvider.selection
leak-582: CalendarProvider.selection
leak-583: CalendarProvider.selection
leak-584: CalendarProvider.selection
leak-585: CalendarProvider.selection
leak-586: CalendarProvider.nextActionTimes
leak-587: CalendarProvider.nextActionTimes
leak-588: CalendarProvider.nextActionTimes
leak-589: CalendarProvider.nextActionTimes
leak-590: CalendarProvider.nextActionTimes
leak-591: CalendarProvider.nextActionTimes
leak-592: CalendarProvider.nextActionTimes
leak-593: CalendarProvider.nextActionTimes
leak-594: CalendarProvider.nextActionTimes
leak-595: CalendarProvider.nextLocation
leak-596: CalendarProvider.nextLocation
leak-597: CalendarProvider.nextLocation
In file: ContactCreator.java
Input operator: COMPLEXREACHABILITY
leak-598: ContactCreator.ContactCreator
leak-599: ContactCreator.isUSstate
leak-600: ContactCreator.isUSstate
leak-601: ContactCreator.isUSstate
leak-602: ContactCreator.isUKcounty
leak-603: ContactCreator.isUKcounty
leak-604: ContactCreator.isUKcounty
leak-605: ContactCreator.isUKregion
leak-606: ContactCreator.isUKregion
leak-607: ContactCreator.isUKregion
leak-608: ContactCreator.lookupCountry
leak-609: mccEntry.mccEntry
leak-610: ContactCreator.lookupCountry
leak-611: ContactCreator.lookupCountry
leak-612: ContactCreator.createOrUpdateContact
leak-613: ContactCreator.createOrUpdateContact
leak-614: ContactCreator.createOrUpdateContact
leak-615: ContactCreator.createOrUpdateContact
leak-616: ContactCreator.createOrUpdateContact
leak-617: ContactCreator.isAtContact
leak-618: ContactCreator.isAtContact
leak-619: ContactCreator.isAtContact
leak-620: ContactCreator.isAtContact
leak-621: ContactCreator.isAtContact
leak-622: ContactCreator.isAtContact
leak-623: ContactCreator.isAtContact
leak-624: ContactCreator.isAtContact
leak-625: ContactCreator.isAtContact
leak-626: ContactCreator.isAtContact
leak-627: ContactCreator.splitAddress
leak-628: ContactCreator.splitAddress
leak-629: ContactCreator.splitAddress
leak-630: ContactCreator.splitAddress
leak-631: ContactCreator.splitAddress
leak-632: ContactCreator.splitAddress
leak-633: ContactCreator.splitAddress
leak-634: ContactCreator.splitAddress
leak-635: ContactCreator.splitAddress
leak-636: ContactCreator.splitAddress
leak-637: ContactCreator.splitAddress
leak-638: ContactCreator.splitAddress
leak-639: ContactCreator.splitAddress
