/home/amit/muse/output/android-timetracker/schemas/REACHABILITY/android-timetracker
In file: TimeRangeTest.java
leak-330: Report.onStop
leak-331: Report.onCreateOptionsMenu
leak-332: Report.onMenuItemSelected
leak-333: Report.onCreateDialog
leak-334: Report.requestExport
leak-335: Report.requestExport
leak-336: <1.<init>>
leak-337: 1.onClick
leak-338: Report.requestExport
leak-339: Report.export
leak-340: Report.export
leak-341: Report.export
leak-342: Report.export
leak-343: Report.doExport
leak-344: Report.doExport
leak-345: Report.doExport
leak-346: Report.doExport
leak-347: Report.onRequestPermissionsResult
leak-348: Report.onRequestPermissionsResult
leak-349: Report.getCurrentRange
leak-350: Report.getCurrentRange
leak-351: Report.getCurrentRange
leak-352: Report.getCurrentRange
leak-353: Report.getCurrentRange
leak-354: Report.getCurrentRange
leak-355: Report.getCurrentRange
leak-356: Report.getCurrentRange
leak-357: Report.getCurrentRange
leak-358: Report.getCurrentRange
leak-359: Report.getRangeName
leak-360: Report.createTotals
leak-361: Report.createTotals
leak-362: Report.createTotals
leak-363: Report.createTotals
leak-364: Report.onResume
leak-365: Report.onPause
leak-366: Report.createHeader
leak-367: Report.createHeader
leak-368: Report.createHeader
leak-369: Report.createHeader
leak-370: Report.createReport
leak-371: Report.createReport
leak-372: Report.createReport
leak-373: Report.createReport
leak-374: Report.createReport
leak-375: Report.weekStart
leak-376: Report.weekEnd
leak-377: Report.onClick
leak-378: Report.fillInActivitiesAndRanges
leak-379: Report.fillInActivitiesAndRanges
leak-380: Report.fillInActivitiesAndRanges
leak-381: Report.fillInActivitiesAndRanges
leak-382: Report.fillInActivitiesAndRanges
leak-383: Report.getDays
leak-384: Report.getDays
leak-385: Report.getDays
leak-386: Report.getDays
leak-387: Report.getDays
leak-388: Report.getDays
leak-389: Report.getDays
In file: EditTime.java
Input operator: REACHABILITY
leak-390: <EditTime.<init>>
leak-391: EditTime.onCreate
leak-392: EditTime.onCreate
leak-393: EditTime.onCreate
leak-394: EditTime.onCreate
leak-395: EditTime.onResume
leak-396: EditTime.onResume
leak-397: EditTime.onResume
leak-398: EditTime.onResume
leak-399: EditTime.onResume
leak-400: EditTime.onClick
leak-401: EditTime.onClick
leak-402: EditTime.onClick
leak-403: EditTime.onCreateDialog
In file: ActivityTimes.java
Input operator: REACHABILITY
leak-404: <ActivityTimes.<init>>
leak-405: ActivityTimes.onCreate
leak-406: ActivityTimes.onCreate
leak-407: ActivityTimes.onCreate
leak-408: ActivityTimes.onCreate
leak-409: ActivityTimes.onCreate
leak-410: ActivityTimes.onCreate
leak-411: ActivityTimes.onStop
leak-412: ActivityTimes.onResume
leak-413: ActivityTimes.onCreateOptionsMenu
leak-414: ActivityTimes.onOptionsItemSelected
leak-415: ActivityTimes.onOptionsItemSelected
leak-416: ActivityTimes.onCreateContextMenu
leak-417: ActivityTimes.onContextItemSelected
leak-418: ActivityTimes.onClick
leak-419: ActivityTimes.onCreateDialog
leak-420: <TimesAdapter.<init>>
leak-421: TimesAdapter.TimesAdapter
leak-422: TimesAdapter.areAllItemsEnabled
leak-423: TimesAdapter.isEnabled
leak-424: TimesAdapter.close
leak-425: TimesAdapter.deleteTimeRange
leak-426: TimesAdapter.deleteTimeRange
leak-427: TimesAdapter.deleteTimeRange
leak-428: TimesAdapter.deleteTimeRange
leak-429: TimesAdapter.deleteTimeRange
leak-430: TimesAdapter.loadTimes
leak-431: TimesAdapter.loadTimes
leak-432: TimesAdapter.loadTimes
leak-433: TimesAdapter.loadTimes
leak-434: TimesAdapter.loadTimes
leak-435: TimesAdapter.getView
leak-436: TimesAdapter.getView
leak-437: TimesAdapter.getView
leak-438: TimesAdapter.getView
leak-439: TimesAdapter.getView
leak-440: TimesAdapter.getView
leak-441: TimesAdapter.getView
leak-442: TimesAdapter.getCount
leak-443: TimesAdapter.getItem
leak-444: TimesAdapter.getItemId
leak-445: TimesAdapter.assignTimeToActivityAt
leak-446: TimesAdapter.assignTimeToActivityAt
leak-447: TimesAdapter.assignTimeToActivityAt
leak-448: TimesAdapter.assignTimeToActivityAt
leak-449: TimesAdapter.assignTimeToActivityAt
leak-450: TimesAdapter.assignTimeToActivityAt
leak-451: TimesAdapter.assignTimeToActivityAt
leak-452: <TimeView.<init>>
leak-453: TimeView.TimeView
leak-454: TimeView.setTimeRange
leak-455: TimesAdapter.clear
leak-456: TimesAdapter.addTimeRange
leak-457: TimesAdapter.insert
leak-458: TimesAdapter.insert
leak-459: TimesAdapter.insert
leak-460: TimesAdapter.insert
leak-461: TimesAdapter.insert
leak-462: TimesAdapter.insert
leak-463: TimesAdapter.startOfDay
leak-464: TimesAdapter.addSeparators
leak-465: TimesAdapter.addSeparators
leak-466: TimesAdapter.addSeparators
leak-467: TimesAdapter.updateTimeRange
leak-468: TimesAdapter.updateTimeRange
leak-469: TimesAdapter.updateTimeRange
leak-470: TimesAdapter.updateTimeRange
leak-471: TimesAdapter.updateTimeRange
leak-472: TimesAdapter.getActivityNames
leak-473: ActivityTimes.onActivityResult
leak-474: ActivityTimes.onActivityResult
leak-475: ActivityTimes.onListItemClick
leak-476: ActivityTimes.onListItemClick
