/home/amit/muse/output/afh_download/schemas/SINK/afh_download
In file: ApplicationTest.java
Input operator: SINK
leak-42-14: MainActivity.readFile
leak-41-14: MainActivity.readFile
leak-40-14: MainActivity.readFile
leak-39-14: MainActivity.readFile
leak-38-14: MainActivity.readFile
leak-65-15: MainActivity.writeFile
leak-64-15: MainActivity.writeFile
leak-63-15: MainActivity.writeFile
leak-60-15: MainActivity.writeFile
leak-55-15: MainActivity.writeFile
leak-54-15: MainActivity.writeFile
leak-53-15: MainActivity.writeFile
leak-52-15: MainActivity.writeFile
leak-51-15: MainActivity.writeFile
leak-50-15: MainActivity.writeFile
leak-49-15: MainActivity.writeFile
leak-47-15: MainActivity.writeFile
leak-46-15: MainActivity.writeFile
leak-45-15: MainActivity.writeFile
leak-44-15: MainActivity.writeFile
leak-43-15: MainActivity.writeFile
leak-42-15: MainActivity.writeFile
leak-41-15: MainActivity.writeFile
leak-40-15: MainActivity.writeFile
leak-39-15: MainActivity.writeFile
leak-38-15: MainActivity.writeFile
leak-65-16: MainActivity.setList
leak-64-16: MainActivity.setList
leak-63-16: MainActivity.setList
leak-60-16: MainActivity.setList
leak-55-16: MainActivity.setList
leak-54-16: MainActivity.setList
leak-53-16: MainActivity.setList
leak-52-16: MainActivity.setList
leak-51-16: MainActivity.setList
leak-50-16: MainActivity.setList
leak-49-16: MainActivity.setList
leak-47-16: MainActivity.setList
leak-46-16: MainActivity.setList
leak-45-16: MainActivity.setList
leak-44-16: MainActivity.setList
leak-43-16: MainActivity.setList
leak-42-16: MainActivity.setList
leak-41-16: MainActivity.setList
leak-40-16: MainActivity.setList
leak-39-16: MainActivity.setList
leak-38-16: MainActivity.setList
leak-57-0: 1.canDismiss
leak-56-0: 1.canDismiss
leak-68-0: 1.canDismiss
leak-57-1: 1.onDismiss
leak-56-1: 1.onDismiss
leak-69-0: 1.onDismiss
leak-58-0: 1.onClick
leak-70-0: 1.onClick
leak-71-0: 1.onClick
leak-59-0: 1.onItemClick
leak-72-0: 1.onItemClick
leak-65-17: MainActivity.message_dialog_yes_no
leak-64-17: MainActivity.message_dialog_yes_no
leak-63-17: MainActivity.message_dialog_yes_no
leak-60-17: MainActivity.message_dialog_yes_no
leak-55-17: MainActivity.message_dialog_yes_no
leak-54-17: MainActivity.message_dialog_yes_no
leak-53-17: MainActivity.message_dialog_yes_no
leak-52-17: MainActivity.message_dialog_yes_no
leak-51-17: MainActivity.message_dialog_yes_no
leak-50-17: MainActivity.message_dialog_yes_no
leak-49-17: MainActivity.message_dialog_yes_no
leak-47-17: MainActivity.message_dialog_yes_no
leak-46-17: MainActivity.message_dialog_yes_no
leak-45-17: MainActivity.message_dialog_yes_no
leak-44-17: MainActivity.message_dialog_yes_no
leak-43-17: MainActivity.message_dialog_yes_no
leak-42-17: MainActivity.message_dialog_yes_no
leak-41-17: MainActivity.message_dialog_yes_no
leak-40-17: MainActivity.message_dialog_yes_no
leak-39-17: MainActivity.message_dialog_yes_no
leak-38-17: MainActivity.message_dialog_yes_no
leak-61-0: 1.onClick
leak-73-0: 1.onClick
leak-62-0: ExecuteAsRootBase.execute
leak-65-18: ExecuteAsRootBase.execute
leak-64-18: ExecuteAsRootBase.execute
leak-63-18: ExecuteAsRootBase.execute
leak-60-18: ExecuteAsRootBase.execute
leak-55-18: ExecuteAsRootBase.execute
leak-54-18: ExecuteAsRootBase.execute
leak-53-18: ExecuteAsRootBase.execute
leak-52-18: ExecuteAsRootBase.execute
leak-51-18: ExecuteAsRootBase.execute
leak-50-18: ExecuteAsRootBase.execute
leak-49-18: ExecuteAsRootBase.execute
leak-47-18: ExecuteAsRootBase.execute
leak-46-18: ExecuteAsRootBase.execute
leak-45-18: ExecuteAsRootBase.execute
leak-44-18: ExecuteAsRootBase.execute
leak-43-18: ExecuteAsRootBase.execute
leak-42-18: ExecuteAsRootBase.execute
leak-41-18: ExecuteAsRootBase.execute
leak-40-18: ExecuteAsRootBase.execute
leak-39-18: ExecuteAsRootBase.execute
leak-38-18: ExecuteAsRootBase.execute
leak-65-19: MainActivity.onResume
leak-64-19: MainActivity.onResume
leak-63-19: MainActivity.onResume
leak-60-19: MainActivity.onResume
leak-55-19: MainActivity.onResume
leak-54-19: MainActivity.onResume
