/home/amit/muse/output/androidpn/schemas/REACHABILITY/androidpn
In file: onClickListener.java
Input operator: REACHABILITY
leak-385: <ServiceManager.<init>>
leak-386: ServiceManager.isNewSettings
leak-387: ServiceManager.isNewSettings
leak-388: ServiceManager.ServiceManager
leak-389: ServiceManager.ServiceManager
leak-390: ServiceManager.isLoggedIn
leak-391: ServiceManager.isLoggedIn
leak-392: ServiceManager.setSettings
leak-393: ServiceManager.setSettings
leak-394: ServiceManager.setSettings
leak-395: ServiceManager.startService
leak-396: <1.<init>>
leak-397: 1.run
leak-398: ServiceManager.stopService
leak-399: ServiceManager.loadProperties
leak-400: ServiceManager.loadProperties
leak-401: ServiceManager.loadProperties
leak-402: ServiceManager.setNotificationIcon
In file: MyBroadcastreceiver.java
Input operator: REACHABILITY
leak-403: <MyBroadcastreceiver.<init>>
leak-404: MyBroadcastreceiver.onReceive
leak-405: MyBroadcastreceiver.onReceive
leak-406: MyBroadcastreceiver.onReceive
In file: PNNotification.java
Input operator: REACHABILITY
leak-407: <PNNotification.<init>>
leak-408: PNNotification.getId
leak-409: PNNotification.setId
leak-410: PNNotification.getTitle
leak-411: PNNotification.getUri
leak-412: PNNotification.getDttm
leak-413: PNNotification.setUri
leak-414: PNNotification.setDttm
leak-415: PNNotification.setTitle
leak-416: PNNotification.getMessage
leak-417: PNNotification.setMessage
leak-418: PNNotification.toString
In file: SetPreferenceActivity.java
Input operator: REACHABILITY
leak-419: <SetPreferenceActivity.<init>>
leak-420: SetPreferenceActivity.onCreate
In file: PNNotificationDataSource.java
Input operator: REACHABILITY
leak-421: <PNNotificationDataSource.<init>>
leak-422: PNNotificationDataSource.PNNotificationDataSource
leak-423: PNNotificationDataSource.open
leak-424: PNNotificationDataSource.close
leak-425: PNNotificationDataSource.createNotification
leak-426: PNNotificationDataSource.deleteNotification
leak-427: PNNotificationDataSource.deleteAllNotifications
leak-428: PNNotificationDataSource.getAllNotifications
leak-429: PNNotificationDataSource.getAllNotifications
leak-430: PNNotificationDataSource.fetchAllNotifications
leak-431: PNNotificationDataSource.fetchAllNotifications
leak-432: PNNotificationDataSource.cursorTonotification
leak-433: PNNotificationDataSource.getDateTime
