filename: us.koller.cameraroll.debug-v1.0.4.log
leak-554-3: yes
leak-421-10: yes
leak-570-1: yes
leak-440-14: yes
leak-418-1: yes
leak-880-0: yes
leak-407-10: yes
leak-411-0: yes
leak-351-9: yes
leak-558-11: yes
leak-822-16: yes
leak-153-6: yes
leak-839-11: yes
leak-408-14: yes
leak-918-10: yes
leak-410-3: yes
leak-423-9: yes
leak-873-0: yes
leak-352-6: yes
leak-828-17: yes
leak-844-2: yes
leak-412-0: yes
leak-415-8: yes
leak-914-6: yes
leak-172-3: yes
leak-868-7: yes
leak-258-5: yes
leak-561-9: yes
leak-206-1: yes
leak-115-24: yes
leak-829-17: yes
leak-165-2: yes
leak-862-21: yes
leak-189-0: yes
leak-902-0: yes
leak-266-0: yes
leak-858-18: yes
leak-977-3: yes
leak-870-17: yes
leak-852-20: yes
leak-406-1: yes
leak-198-1: yes
leak-10-10: yes
leak-1298-8: yes
leak-208-2: yes
leak-426-0: yes
leak-852-2: yes
leak-351-1: yes
leak-560-11: yes
leak-748-17: yes
leak-905-2: yes
leak-431-2: yes
leak-840-18: yes
leak-102-1: yes
leak-270-0: yes
leak-424-9: yes
leak-410-12: yes
leak-566-1: yes
leak-745-17: yes
leak-208-0: yes
leak-571-0: yes
leak-871-15: yes
leak-421-1: yes
leak-915-7: yes
leak-738-11: yes
leak-871-8: yes
leak-420-7: yes
leak-840-6: yes
leak-828-4: yes
leak-11-10: yes
leak-108-1: yes
leak-559-11: yes
leak-1441-0: yes
leak-828-5: yes
leak-712-0: yes
leak-904-8: yes
leak-868-11: yes
leak-260-1: yes
leak-863-0: yes
leak-164-12: yes
leak-126-4: yes
leak-227-1: yes
leak-410-4: yes
leak-440-13: yes
leak-742-11: yes
leak-881-0: yes
leak-424-10: yes
leak-180-11: yes
leak-555-4: yes
leak-882-0: yes
leak-187-15: yes
leak-187-19: yes
leak-564-12: yes
leak-418-3: yes
leak-552-5: yes
leak-120-18: yes
leak-418-10: yes
leak-182-12: yes
leak-557-6: yes
leak-559-2: yes
leak-564-1: yes
leak-909-8: yes
leak-556-12: yes
leak-724-12: yes
leak-419-9: yes
leak-1301-2: yes
leak-763-0: yes
leak-730-11: yes
leak-428-0: yes
leak-117-13: yes
leak-103-1: yes
leak-870-8: yes
leak-410-10: yes
leak-854-18: yes
leak-1039-4: yes
leak-840-17: yes
leak-415-14: yes
leak-560-0: yes
leak-421-2: yes
leak-437-7: yes
leak-164-15: yes
leak-553-1: yes
leak-856-16: yes
leak-856-15: yes
leak-871-21: yes
leak-563-11: yes
leak-123-13: yes
leak-1037-6: yes
leak-972-15: yes
leak-839-16: yes
leak-852-18: yes
leak-822-17: yes
leak-165-7: yes
leak-418-9: yes
leak-111-18: yes
leak-868-21: yes
leak-10-0: yes
leak-432-2: yes
leak-424-3: yes
leak-916-4: yes
leak-1037-3: yes
leak-740-4: yes
leak-748-15: yes
leak-123-2: yes
leak-762-0: yes
leak-559-3: yes
leak-1037-4: yes
leak-838-4: yes
leak-738-12: yes
leak-102-0: yes
leak-822-24: yes
leak-413-0: yes
leak-1036-4: yes
leak-568-4: yes
leak-18-6: yes
leak-117-18: yes
leak-409-3: yes
leak-1465-0: yes
leak-344-5: yes
leak-415-2: yes
leak-409-5: yes
leak-115-13: yes
leak-259-3: yes
leak-232-0: yes
leak-179-11: yes
leak-870-6: yes
leak-424-1: yes
leak-730-3: yes
leak-277-4: yes
leak-921-8: yes
leak-873-15: yes
leak-870-24: yes
leak-558-8: yes
leak-956-11: yes
leak-115-18: yes
leak-407-11: yes
leak-205-1: yes
leak-838-17: yes
leak-406-12: yes
leak-123-18: yes
leak-173-8: yes
leak-553-2: yes
leak-764-0: yes
leak-838-18: yes
leak-119-1: yes
leak-408-2: yes
leak-119-8: yes
leak-865-17: yes
leak-914-8: yes
leak-559-12: yes
leak-164-7: yes
leak-161-0: yes
leak-963-4: yes
leak-871-6: yes
leak-415-4: yes
leak-167-2: yes
leak-865-19: yes
leak-1036-3: yes
leak-909-1: yes
leak-424-14: yes
leak-408-4: yes
leak-168-8: yes
leak-1039-7: yes
leak-841-20: yes
leak-277-5: yes
leak-253-3: yes
leak-422-14: yes
leak-555-1: yes
leak-865-7: yes
leak-854-20: yes
leak-911-4: yes
leak-417-1: yes
leak-253-0: yes
leak-953-15: yes
leak-858-19: yes
leak-911-5: yes
leak-1034-8: yes
leak-829-20: yes
leak-191-0: yes
leak-260-2: yes
leak-407-9: yes
leak-871-22: yes
leak-738-9: yes
leak-839-8: yes
leak-871-1: yes
leak-828-7: yes
leak-956-4: yes
leak-192-0: yes
leak-871-7: yes
leak-853-0: yes
leak-13-10: yes
leak-153-3: yes
leak-724-4: yes
leak-557-4: yes
leak-409-10: yes
leak-417-4: yes
leak-442-1: yes
leak-406-8: yes
leak-909-4: yes
leak-1482-2: yes
leak-108-2: yes
leak-913-2: yes
leak-559-5: yes
leak-929-0: yes
leak-554-12: yes
leak-553-0: yes
leak-354-6: yes
leak-841-7: yes
leak-164-5: yes
leak-871-11: yes
leak-151-3: yes
leak-870-18: yes
leak-871-5: yes
leak-104-13: yes
leak-559-7: yes
leak-420-14: yes
leak-123-21: yes
leak-241-0: yes
leak-892-0: yes
leak-20-6: yes
leak-870-5: yes
leak-439-6: yes
leak-750-4: yes
leak-443-13: yes
leak-870-2: yes
leak-829-2: yes
leak-16-6: yes
leak-344-1: yes
leak-955-11: yes
leak-822-18: yes
leak-976-0: yes
leak-740-5: yes
leak-407-14: yes
leak-12-3: yes
leak-104-6: yes
leak-865-20: yes
leak-272-0: yes
leak-164-16: yes
leak-552-1: yes
leak-406-13: yes
leak-904-7: yes
leak-844-20: yes
leak-179-5: yes
leak-199-0: yes
leak-871-18: yes
leak-862-18: yes
leak-102-6: yes
leak-1470-0: yes
leak-839-5: yes
leak-977-2: yes
leak-419-8: yes
leak-418-13: yes
leak-554-0: yes
leak-963-7: yes
leak-918-1: yes
leak-916-6: yes
